market_id,ticker,start,open,high,low,close,count
KXHIGHNY-25JUL26-B87.5,KXHIGHNY-25JUL26-B87.5,2025-07-26T05:05:00+00:00,13.0,17.0,12.0,17.0,5
KXHIGHNY-25JUL26-B87.5,KXHIGHNY-25JUL26-B87.5,2025-07-26T05:10:00+00:00,17.0,17.0,17.0,17.0,2
KXHIGHNY-25JUL26-B87.5,KXHIGHNY-25JUL26-B87.5,2025-07-26T05:15:00+00:00,17.0,17.0,17.0,17.0,1
KXHIGHNY-25JUL26-B87.5,KXHIGHNY-25JUL26-B87.5,2025-07-26T05:30:00+00:00,16.0,16.0,16.0,16.0,1
KXHIGHNY-25JUL26-B87.5,KXHIGHNY-25JUL26-B87.5,2025-07-26T06:10:00+00:00,13.0,13.0,13.0,13.0,1
KXHIGHNY-25JUL26-B87.5,KXHIGHNY-25JUL26-B87.5,2025-07-26T06:20:00+00:00,13.0,13.0,13.0,13.0,1
KXHIGHNY-25JUL26-B87.5,KXHIGHNY-25JUL26-B87.5,2025-07-26T06:30:00+00:00,13.0,13.0,13.0,13.0,1
KXHIGHNY-25JUL26-B87.5,KXHIGHNY-25JUL26-B87.5,2025-07-26T12:10:00+00:00,15.0,15.0,15.0,15.0,2
KXHIGHNY-25JUL26-B87.5,KXHIGHNY-25JUL26-B87.5,2025-07-26T12:20:00+00:00,12.0,12.0,11.0,11.0,4
KXHIGHNY-25JUL26-B87.5,KXHIGHNY-25JUL26-B87.5,2025-07-26T12:30:00+00:00,11.0,11.0,11.0,11.0,1
KXHIGHNY-25JUL26-B87.5,KXHIGHNY-25JUL26-B87.5,2025-07-26T12:35:00+00:00,11.0,11.0,11.0,11.0,1
KXHIGHNY-25JUL26-B87.5,KXHIGHNY-25JUL26-B87.5,2025-07-26T12:50:00+00:00,10.0,10.0,10.0,10.0,1
KXHIGHNY-25JUL26-B87.5,KXHIGHNY-25JUL26-B87.5,2025-07-26T13:40:00+00:00,8.0,8.0,8.0,8.0,2
KXHIGHNY-25JUL26-B87.5,KXHIGHNY-25JUL26-B87.5,2025-07-26T13:55:00+00:00,8.0,8.0,8.0,8.0,1
KXHIGHNY-25JUL26-B87.5,KXHIGHNY-25JUL26-B87.5,2025-07-26T14:00:00+00:00,20.0,20.0,16.0,16.0,3
KXHIGHNY-25JUL26-B87.5,KXHIGHNY-25JUL26-B87.5,2025-07-26T14:15:00+00:00,9.0,9.0,9.0,9.0,1
KXHIGHNY-25JUL26-B87.5,KXHIGHNY-25JUL26-B87.5,2025-07-26T14:25:00+00:00,9.0,9.0,9.0,9.0,2
KXHIGHNY-25JUL26-B87.5,KXHIGHNY-25JUL26-B87.5,2025-07-26T14:50:00+00:00,8.0,8.0,6.0,6.0,4
KXHIGHNY-25JUL26-B87.5,KXHIGHNY-25JUL26-B87.5,2025-07-26T14:55:00+00:00,6.0,6.0,6.0,6.0,1
KXHIGHNY-25JUL26-B87.5,KXHIGHNY-25JUL26-B87.5,2025-07-26T15:00:00+00:00,4.0,4.0,4.0,4.0,1
KXHIGHNY-25JUL26-B87.5,KXHIGHNY-25JUL26-B87.5,2025-07-26T15:10:00+00:00,3.0,3.0,3.0,3.0,1
KXHIGHNY-25JUL26-B87.5,KXHIGHNY-25JUL26-B87.5,2025-07-26T15:15:00+00:00,3.0,3.0,2.0,2.0,4
KXHIGHNY-25JUL26-B87.5,KXHIGHNY-25JUL26-B87.5,2025-07-26T15:20:00+00:00,3.0,3.0,2.0,2.0,2
KXHIGHNY-25JUL26-B87.5,KXHIGHNY-25JUL26-B87.5,2025-07-26T15:25:00+00:00,2.0,2.0,2.0,2.0,2
KXHIGHNY-25JUL26-B87.5,KXHIGHNY-25JUL26-B87.5,2025-07-26T15:30:00+00:00,2.0,7.0,1.0,7.0,4
KXHIGHNY-25JUL26-B87.5,KXHIGHNY-25JUL26-B87.5,2025-07-26T15:45:00+00:00,7.0,7.0,7.0,7.0,1
KXHIGHNY-25JUL26-B87.5,KXHIGHNY-25JUL26-B87.5,2025-07-26T15:50:00+00:00,7.0,9.0,6.0,8.0,4
KXHIGHNY-25JUL26-B87.5,KXHIGHNY-25JUL26-B87.5,2025-07-26T15:55:00+00:00,9.0,9.0,8.0,8.0,2
KXHIGHNY-25JUL26-B87.5,KXHIGHNY-25JUL26-B87.5,2025-07-26T16:00:00+00:00,3.0,9.0,3.0,9.0,2
KXHIGHNY-25JUL26-B87.5,KXHIGHNY-25JUL26-B87.5,2025-07-26T16:05:00+00:00,2.0,8.0,2.0,8.0,3
KXHIGHNY-25JUL26-B87.5,KXHIGHNY-25JUL26-B87.5,2025-07-26T16:10:00+00:00,8.0,9.0,8.0,9.0,2
KXHIGHNY-25JUL26-B87.5,KXHIGHNY-25JUL26-B87.5,2025-07-26T16:25:00+00:00,8.0,8.0,8.0,8.0,1
KXHIGHNY-25JUL26-B87.5,KXHIGHNY-25JUL26-B87.5,2025-07-26T16:30:00+00:00,8.0,8.0,8.0,8.0,3
KXHIGHNY-25JUL26-B87.5,KXHIGHNY-25JUL26-B87.5,2025-07-26T16:35:00+00:00,9.0,9.0,9.0,9.0,3
KXHIGHNY-25JUL26-B87.5,KXHIGHNY-25JUL26-B87.5,2025-07-26T16:40:00+00:00,8.0,8.0,8.0,8.0,2
KXHIGHNY-25JUL26-B87.5,KXHIGHNY-25JUL26-B87.5,2025-07-26T16:45:00+00:00,8.0,8.0,3.0,8.0,4
KXHIGHNY-25JUL26-B87.5,KXHIGHNY-25JUL26-B87.5,2025-07-26T17:05:00+00:00,9.0,9.0,9.0,9.0,1
KXHIGHNY-25JUL26-B87.5,KXHIGHNY-25JUL26-B87.5,2025-07-26T17:20:00+00:00,9.0,9.0,9.0,9.0,1
KXHIGHNY-25JUL26-B87.5,KXHIGHNY-25JUL26-B87.5,2025-07-26T17:40:00+00:00,9.0,9.0,9.0,9.0,1
KXHIGHNY-25JUL26-B87.5,KXHIGHNY-25JUL26-B87.5,2025-07-26T17:50:00+00:00,8.0,8.0,8.0,8.0,2
KXHIGHNY-25JUL26-B87.5,KXHIGHNY-25JUL26-B87.5,2025-07-26T18:00:00+00:00,8.0,8.0,5.0,5.0,2
KXHIGHNY-25JUL26-B87.5,KXHIGHNY-25JUL26-B87.5,2025-07-26T18:10:00+00:00,3.0,3.0,3.0,3.0,1
KXHIGHNY-25JUL26-B87.5,KXHIGHNY-25JUL26-B87.5,2025-07-26T18:20:00+00:00,6.0,6.0,6.0,6.0,3
KXHIGHNY-25JUL26-B87.5,KXHIGHNY-25JUL26-B87.5,2025-07-26T18:25:00+00:00,1.0,1.0,1.0,1.0,2
KXHIGHNY-25JUL26-B87.5,KXHIGHNY-25JUL26-B87.5,2025-07-26T18:35:00+00:00,6.0,6.0,6.0,6.0,1
KXHIGHNY-25JUL26-B87.5,KXHIGHNY-25JUL26-B87.5,2025-07-26T18:40:00+00:00,6.0,7.0,6.0,6.0,3
KXHIGHNY-25JUL26-B87.5,KXHIGHNY-25JUL26-B87.5,2025-07-26T19:00:00+00:00,1.0,1.0,1.0,1.0,1
KXHIGHNY-25JUL26-B87.5,KXHIGHNY-25JUL26-B87.5,2025-07-26T19:30:00+00:00,5.0,5.0,4.0,4.0,2
KXHIGHNY-25JUL26-B87.5,KXHIGHNY-25JUL26-B87.5,2025-07-26T20:30:00+00:00,1.0,1.0,1.0,1.0,1
KXHIGHNY-25JUL26-B87.5,KXHIGHNY-25JUL26-B87.5,2025-07-26T21:15:00+00:00,1.0,1.0,1.0,1.0,1
KXHIGHNY-25JUL26-B87.5,KXHIGHNY-25JUL26-B87.5,2025-07-26T21:50:00+00:00,1.0,1.0,1.0,1.0,1
KXHIGHNY-25JUL26-B87.5,KXHIGHNY-25JUL26-B87.5,2025-07-27T01:25:00+00:00,1.0,1.0,1.0,1.0,1
KXHIGHNY-25JUL26-B85.5,KXHIGHNY-25JUL26-B85.5,2025-07-26T19:15:00+00:00,99.0,99.0,99.0,99.0,2
KXHIGHNY-25JUL26-B85.5,KXHIGHNY-25JUL26-B85.5,2025-07-26T19:20:00+00:00,97.0,97.0,92.0,92.0,5
KXHIGHNY-25JUL26-B85.5,KXHIGHNY-25JUL26-B85.5,2025-07-26T19:25:00+00:00,95.0,99.0,94.0,94.0,3
KXHIGHNY-25JUL26-B85.5,KXHIGHNY-25JUL26-B85.5,2025-07-26T19:30:00+00:00,99.0,99.0,92.0,92.0,13
KXHIGHNY-25JUL26-B85.5,KXHIGHNY-25JUL26-B85.5,2025-07-26T19:35:00+00:00,92.0,94.0,92.0,94.0,10
KXHIGHNY-25JUL26-B85.5,KXHIGHNY-25JUL26-B85.5,2025-07-26T19:40:00+00:00,99.0,99.0,94.0,94.0,12
KXHIGHNY-25JUL26-B85.5,KXHIGHNY-25JUL26-B85.5,2025-07-26T19:45:00+00:00,94.0,94.0,94.0,94.0,1
KXHIGHNY-25JUL26-B85.5,KXHIGHNY-25JUL26-B85.5,2025-07-26T19:50:00+00:00,99.0,99.0,94.0,94.0,6
KXHIGHNY-25JUL26-B85.5,KXHIGHNY-25JUL26-B85.5,2025-07-26T19:55:00+00:00,95.0,95.0,95.0,95.0,1
KXHIGHNY-25JUL26-B85.5,KXHIGHNY-25JUL26-B85.5,2025-07-26T20:00:00+00:00,95.0,96.0,95.0,95.0,10
KXHIGHNY-25JUL26-B85.5,KXHIGHNY-25JUL26-B85.5,2025-07-26T20:05:00+00:00,95.0,96.0,95.0,95.0,10
KXHIGHNY-25JUL26-B85.5,KXHIGHNY-25JUL26-B85.5,2025-07-26T20:10:00+00:00,96.0,96.0,96.0,96.0,1
KXHIGHNY-25JUL26-B85.5,KXHIGHNY-25JUL26-B85.5,2025-07-26T20:15:00+00:00,99.0,99.0,99.0,99.0,1
KXHIGHNY-25JUL26-B85.5,KXHIGHNY-25JUL26-B85.5,2025-07-26T20:20:00+00:00,99.0,99.0,99.0,99.0,1
KXHIGHNY-25JUL26-B85.5,KXHIGHNY-25JUL26-B85.5,2025-07-26T20:25:00+00:00,99.0,99.0,99.0,99.0,1
KXHIGHNY-25JUL26-B85.5,KXHIGHNY-25JUL26-B85.5,2025-07-26T20:30:00+00:00,99.0,99.0,99.0,99.0,1
KXHIGHNY-25JUL26-B85.5,KXHIGHNY-25JUL26-B85.5,2025-07-26T20:35:00+00:00,99.0,99.0,99.0,99.0,3
KXHIGHNY-25JUL26-B85.5,KXHIGHNY-25JUL26-B85.5,2025-07-26T20:40:00+00:00,99.0,99.0,99.0,99.0,1
KXHIGHNY-25JUL26-B85.5,KXHIGHNY-25JUL26-B85.5,2025-07-26T20:45:00+00:00,99.0,99.0,99.0,99.0,1
KXHIGHNY-25JUL26-B85.5,KXHIGHNY-25JUL26-B85.5,2025-07-26T20:50:00+00:00,99.0,99.0,99.0,99.0,1
KXHIGHNY-25JUL26-B85.5,KXHIGHNY-25JUL26-B85.5,2025-07-26T20:55:00+00:00,99.0,99.0,99.0,99.0,1
KXHIGHNY-25JUL26-B85.5,KXHIGHNY-25JUL26-B85.5,2025-07-26T21:00:00+00:00,99.0,99.0,99.0,99.0,1
KXHIGHNY-25JUL26-B85.5,KXHIGHNY-25JUL26-B85.5,2025-07-26T21:05:00+00:00,99.0,99.0,99.0,99.0,1
KXHIGHNY-25JUL26-B85.5,KXHIGHNY-25JUL26-B85.5,2025-07-26T21:15:00+00:00,99.0,99.0,99.0,99.0,1
