time,action,ticker,price,qty,fee,cost,source,order_id
2026-01-07 08:28:15.242359,BUY_YES,KXHIGHNY-26JAN07-B51.5,17,1,0.01,0.18000000000000002,MM,
2026-01-07 08:28:35.266499,BUY_YES,KXHIGHNY-26JAN07-B51.5,17,1,0.01,0.18000000000000002,MM,
2026-01-07 13:06:49.480116,BUY_YES,KXHIGHNY-26JAN08-B46.5,21,1,0.02,0.22999999999999998,MM,
2026-01-07 13:06:55.136808,BUY_YES,KXHIGHNY-26JAN08-B46.5,20,1,0.02,0.22,MM,
2026-01-07 13:06:57.207791,BUY_YES,KXHIGHNY-26JAN08-B46.5,21,1,0.02,0.22999999999999998,MM,
2026-01-07 13:07:09.937980,BUY_YES,KXHIGHNY-26JAN08-B46.5,21,1,0.02,0.22999999999999998,MM,
2026-01-07 13:08:58.077404,BUY_YES,KXHIGHNY-26JAN08-B46.5,21,1,0.02,0.22999999999999998,MM,
2026-01-07 13:11:17.376221,BUY_YES,KXHIGHNY-26JAN08-B46.5,20,1,0.02,0.22,MM,
2026-01-07 13:11:51.846243,BUY_YES,KXHIGHNY-26JAN08-B46.5,19,1,0.02,0.21,MM,
2026-01-07 13:11:58.542796,BUY_YES,KXHIGHNY-26JAN08-B46.5,20,1,0.02,0.22,MM,
2026-01-07 13:12:59.745829,BUY_YES,KXHIGHNY-26JAN08-B46.5,20,1,0.02,0.22,MM,
2026-01-07 13:16:24.507740,BUY_YES,KXHIGHNY-26JAN08-B46.5,18,1,0.02,0.19999999999999998,MM,
2026-01-07 13:21:28.109811,BUY_YES,KXHIGHNY-26JAN08-B46.5,18,1,0.02,0.19999999999999998,MM,
2026-01-07 15:50:39.693758,BUY_YES,KXHIGHNY-26JAN08-B46.5,13,1,0.01,0.14,MM,
2026-01-07 16:01:08.510390,BUY_YES,KXHIGHNY-26JAN08-B46.5,11,1,0.01,0.12,MM,
2026-01-07 16:13:23.608393,BUY_YES,KXHIGHNY-26JAN08-B46.5,12,1,0.01,0.13,MM,
2026-01-07 16:13:46.887956,BUY_YES,KXHIGHNY-26JAN08-B46.5,12,1,0.01,0.13,MM,
2026-01-07 16:13:49.133124,BUY_YES,KXHIGHNY-26JAN08-B46.5,11,1,0.01,0.12,MM,
2026-01-07 16:25:06.569975,BUY_YES,KXHIGHNY-26JAN08-B52.5,5,1,0.01,0.060000000000000005,MM,
2026-01-07 17:53:18.432397,BUY_YES,KXHIGHNY-26JAN08-B46.5,9,1,0.01,0.09999999999999999,MM,
2026-01-07 17:53:20.545324,BUY_YES,KXHIGHNY-26JAN08-B46.5,8,2,0.02,0.18,MM,
2026-01-07 17:53:22.734747,BUY_YES,KXHIGHNY-26JAN08-B46.5,10,1,0.01,0.11,MM,
