94728KNYC NYC20250601114512506/01/25 11:45:31  5-MIN KNYC 011645Z AUTO VRB05G19KT 10SM SCT060 18/03 A2974 320 36 800 VRB/05G19 RMK AO2 SLP062 T01780028 $
94728KNYC NYC20250601115013506/01/25 11:50:31  5-MIN KNYC 011650Z AUTO 30007KT 260V320 10SM BKN060 18/03 A2974 320 38 800 310/07 270V330 RMK AO2 SLP063 T01780033 $
94728KNYC NYC20250601115513406/01/25 11:55:31  5-MIN KNYC 011655Z AUTO 28008G16KT 260V330 10SM BKN060 17/03 A2974 320 37 700 290/08G16 270V340 RMK AO2 T01720028 $
94728KNYC NYC20250601120011806/01/25 12:00:31  5-MIN KNYC 011700Z AUTO VRB04G16KT 10SM SCT060 18/03 A2974 320 36 800 VRB/04G16 RMK AO2 T01780028 $
94728KNYC NYC20250601120510206/01/25 12:05:31  5-MIN KNYC 011705Z AUTO 10SM SCT060 17/03 A2974 320 37 700 M /M RMK AO2 T01720028 $
94728KNYC NYC20250601121012806/01/25 12:10:31  5-MIN KNYC 011710Z AUTO 27008KT 230V310 10SM SCT065 18/03 A2974 320 36 800 280/08 240V320 RMK AO2 T01830033 $
94728KNYC NYC20250601121511806/01/25 12:15:31  5-MIN KNYC 011715Z AUTO 29006G14KT 10SM BKN065 17/03 A2974 320 37 700 300/06G14 RMK AO2 T01720028 $
94728KNYC NYC20250601122011106/01/25 12:20:31  5-MIN KNYC 011720Z AUTO VRB06KT 9SM BKN065 18/03 A2974 320 38 800 VRB/06 RMK AO2 T01780033 $
94728KNYC NYC20250601122511106/01/25 12:25:31  5-MIN KNYC 011725Z AUTO VRB04KT 9SM BKN065 18/02 A2974 320 35 800 VRB/04 RMK AO2 T01780022 $
94728KNYC NYC20250601123010206/01/25 12:30:31  5-MIN KNYC 011730Z AUTO 10SM BKN065 17/02 A2975 320 36 700 M /M RMK AO2 T01720022 $
94728KNYC NYC20250601123512806/01/25 12:35:31  5-MIN KNYC 011735Z AUTO 25008KT 220V280 10SM BKN065 18/03 A2975 320 36 800 270/08 230V290 RMK AO2 T01780028 $
94728KNYC NYC20250601124011806/01/25 12:40:31  5-MIN KNYC 011740Z AUTO VRB05G17KT 10SM SCT065 18/03 A2975 320 36 800 VRB/05G17 RMK AO2 T01780028 $
94728KNYC NYC20250601124514306/01/25 12:45:31  5-MIN KNYC 011745Z AUTO VRB05G17KT 10SM SCT070 18/03 A2975 320 38 800 VRB/05G17 RMK AO2 SLP064 T01780033 10183 20117 53014 $
94728KNYC NYC20250601125015906/01/25 12:50:31  5-MIN KNYC 011750Z AUTO 25008G16KT 220V290 10SM BKN070 18/03 A2975 320 38 800 260/08G16 230V300 RMK AO2 SLP065 T01780033 10183 20117 53014 $
94728KNYC NYC20250601125513406/01/25 12:55:31  5-MIN KNYC 011755Z AUTO 26009G21KT 220V300 10SM BKN065 17/02 A2975 320 36 700 270/09G21 230V310 RMK AO2 T01720022 $
94728KNYC NYC20250601130011806/01/25 13:00:31  5-MIN KNYC 011800Z AUTO VRB06G21KT 10SM SCT070 18/03 A2975 320 36 800 VRB/06G21 RMK AO2 T01780028 $
94728KNYC NYC20250601130511806/01/25 13:05:31  5-MIN KNYC 011805Z AUTO 28010G16KT 10SM SCT070 17/02 A2975 320 36 700 290/10G16 RMK AO2 T01720022 $
94728KNYC NYC20250601131011806/01/25 13:10:31  5-MIN KNYC 011810Z AUTO VRB06G16KT 10SM BKN065 18/03 A2975 320 35 800 VRB/06G16 RMK AO2 T01830028 $
94728KNYC NYC20250601131511806/01/25 13:15:31  5-MIN KNYC 011815Z AUTO VRB04G16KT 10SM SCT065 18/04 A2975 320 38 800 VRB/04G16 RMK AO2 T01830039 $
