time,action,ticker,price,qty,fee,cost,source,spread,capital_after,slippage,mid_at_fill,strategy
2025-12-13 06:02:09.891244,BUY_YES,KXHIGHNY-25DEC13-B42.5,5,20,0.07,1.07,MM,2,354.74999999999983,1.0,4.0,RegimeSwitcher
2025-12-13 06:04:59.637962,BUY_NO,KXHIGHNY-25DEC13-B40.5,54,11,0.2,6.140000000000001,MM,1,348.60999999999984,0.5,46.5,RegimeSwitcher
2025-12-13 06:05:00.670749,BUY_YES,KXHIGHNY-25DEC13-B42.5,5,10,0.04,0.54,MM,2,348.0699999999998,1.0,4.0,RegimeSwitcher
2025-12-13 06:07:06.716010,BUY_YES,KXHIGHNY-25DEC13-T36,1,98,0.07,1.05,MM,1,347.0199999999998,0.5,0.5,RegimeSwitcher
2025-12-13 06:45:40.601871,BUY_YES,KXHIGHNY-25DEC13-B42.5,5,20,0.07,1.07,MM,1,345.9499999999998,0.5,4.5,RegimeSwitcher
2025-12-13 06:45:52.798128,BUY_YES,KXHIGHNY-25DEC13-B42.5,5,9,0.03,0.48,MM,2,345.4699999999998,1.0,4.0,RegimeSwitcher
2025-12-13 06:47:28.038360,BUY_YES,KXHIGHNY-25DEC13-B42.5,4,62,0.17,2.65,MM,1,342.8199999999998,0.5,3.5,RegimeSwitcher
2025-12-13 07:20:25.378061,BUY_NO,KXHIGHNY-25DEC13-B38.5,51,2,0.04,1.06,MM,2,341.7599999999998,1.0,50.0,RegimeSwitcher
2025-12-13 07:25:49.347374,BUY_NO,KXHIGHNY-25DEC13-B38.5,50,5,0.09,2.59,MM,1,339.16999999999985,0.5,50.5,RegimeSwitcher
2025-12-13 07:26:30.587933,BUY_NO,KXHIGHNY-25DEC13-B38.5,50,3,0.06,1.56,MM,2,337.60999999999984,1.0,51.0,RegimeSwitcher
2025-12-13 07:26:40.642728,BUY_NO,KXHIGHNY-25DEC13-B38.5,49,7,0.13,3.5599999999999996,MM,1,334.04999999999984,0.5,51.5,RegimeSwitcher
2025-12-13 07:30:48.956127,BUY_NO,KXHIGHNY-25DEC13-B38.5,48,6,0.11,2.9899999999999998,MM,1,331.05999999999983,0.5,52.5,RegimeSwitcher
2025-12-13 07:35:57.936299,BUY_YES,KXHIGHNY-25DEC14-T34,15,2,0.02,0.32,MM,4,330.73999999999984,2.0,13.0,RegimeSwitcher
2025-12-13 07:35:57.941549,BUY_YES,KXHIGHNY-25DEC14-B40.5,4,2,0.01,0.09,MM,1,330.64999999999986,0.5,3.5,RegimeSwitcher
2025-12-13 07:36:02.414788,BUY_YES,KXHIGHNY-25DEC14-T41,3,1,0.01,0.04,MM,1,330.60999999999984,0.5,2.5,RegimeSwitcher
2025-12-14 05:00:08.239678,BUY_YES,KXHIGHNY-25DEC14-B36.5,1,500,0.35,5.35,MM,1,787.2599999999999,0.5,0.5,RegimeSwitcher
2025-12-14 05:01:24.782428,BUY_YES,KXHIGHNY-25DEC14-B34.5,5,500,1.67,26.67,MM,2,760.5899999999999,1.0,4.0,RegimeSwitcher
2025-12-14 05:17:48.056473,BUY_YES,KXHIGHNY-25DEC14-T34,87,7,0.06,6.1499999999999995,MM,1,754.4399999999999,0.5,86.5,RegimeSwitcher
2025-12-14 05:53:27.696319,BUY_YES,KXHIGHNY-25DEC14-T34,90,5,0.04,4.54,MM,2,749.9,1.0,89.0,RegimeSwitcher
2025-12-14 05:53:33.613325,BUY_YES,KXHIGHNY-25DEC14-T34,90,4,0.03,3.63,MM,1,746.27,0.5,89.5,RegimeSwitcher
2025-12-14 05:53:58.056384,BUY_YES,KXHIGHNY-25DEC14-T34,90,4,0.03,3.63,MM,1,742.64,0.5,89.5,RegimeSwitcher
