time,action,ticker,price,qty,fee,cost,source,capital_after
2025-12-25 05:16:45.578144,BUY_YES,KXHIGHNY-25DEC25-B47.5,41,1,0.02,0.43,Replay,23.810000000000024
2025-12-25 05:16:59.358172,BUY_YES,KXHIGHNY-25DEC25-B47.5,41,1,0.02,0.43,Replay,23.380000000000024
2025-12-25 05:17:12.249144,BUY_YES,KXHIGHNY-25DEC25-B47.5,41,1,0.02,0.43,Replay,22.950000000000024
2025-12-25 05:17:14.245326,BUY_YES,KXHIGHNY-25DEC25-B47.5,40,1,0.02,0.42000000000000004,Replay,22.530000000000022
2025-12-25 05:17:51.555631,BUY_YES,KXHIGHNY-25DEC25-B47.5,33,4,0.07,1.3900000000000001,Replay,21.140000000000022
2025-12-25 05:17:53.998115,BUY_YES,KXHIGHNY-25DEC25-B47.5,33,4,0.07,1.3900000000000001,Replay,19.75000000000002
2025-12-25 05:17:59.885985,BUY_YES,KXHIGHNY-25DEC25-B47.5,33,4,0.07,1.3900000000000001,Replay,18.36000000000002
2025-12-25 05:21:42.159638,BUY_YES,KXHIGHNY-25DEC25-B45.5,12,1,0.01,0.13,Replay,18.23000000000002
2025-12-25 05:34:54.117747,BUY_YES,KXHIGHNY-25DEC25-B43.5,3,3,0.01,0.09999999999999999,Replay,18.13000000000002
2025-12-25 05:46:13.633587,BUY_YES,KXHIGHNY-25DEC25-B43.5,1,1,0.01,0.02,Replay,18.11000000000002
2025-12-26 05:02:50.534376,PAYOUT,KXHIGHNY-25DEC25-B47.5,0,46,0.0,-0.0,Settlement,18.11000000000002
2025-12-26 05:02:50.534376,PAYOUT,KXHIGHNY-25DEC25-B45.5,0,28,0.0,-0.0,Settlement,18.11000000000002
2025-12-26 05:02:50.534376,PAYOUT,KXHIGHNY-25DEC25-T48,100,17,0.0,-17.0,Settlement,35.11000000000002
2025-12-26 05:02:50.534376,PAYOUT,KXHIGHNY-25DEC25-B43.5,0,4,0.0,-0.0,Settlement,35.11000000000002
2025-12-26 05:02:50.534376,BUY_YES,KXHIGHNY-25DEC26-B27.5,2,15,0.03,0.32999999999999996,Replay,34.78000000000002
2025-12-26 05:02:50.769132,BUY_YES,KXHIGHNY-25DEC26-B29.5,37,6,0.1,2.32,Replay,32.46000000000002
2025-12-26 05:02:54.540865,BUY_YES,KXHIGHNY-25DEC26-B29.5,37,5,0.09,1.9400000000000002,Replay,30.52000000000002
2025-12-26 05:02:57.292297,BUY_YES,KXHIGHNY-25DEC26-B29.5,38,5,0.09,1.99,Replay,28.530000000000022
2025-12-26 05:02:58.905554,BUY_YES,KXHIGHNY-25DEC26-B29.5,37,4,0.07,1.55,Replay,26.98000000000002
2025-12-26 05:03:06.981011,BUY_YES,KXHIGHNY-25DEC26-B29.5,39,4,0.07,1.6300000000000001,Replay,25.350000000000023
2025-12-26 05:03:12.092819,BUY_YES,KXHIGHNY-25DEC26-B29.5,38,4,0.07,1.59,Replay,23.760000000000023
2025-12-26 05:03:25.090953,BUY_YES,KXHIGHNY-25DEC26-B29.5,36,4,0.07,1.51,Replay,22.25000000000002
2025-12-26 05:03:28.210358,BUY_YES,KXHIGHNY-25DEC26-B29.5,35,4,0.07,1.47,Replay,20.780000000000022
2025-12-26 05:04:38.537195,BUY_YES,KXHIGHNY-25DEC26-B29.5,35,4,0.07,1.47,Replay,19.310000000000024
2025-12-26 05:04:43.993222,BUY_YES,KXHIGHNY-25DEC26-B29.5,35,3,0.05,1.0999999999999999,Replay,18.210000000000022
2025-12-26 05:04:47.313117,BUY_YES,KXHIGHNY-25DEC26-B29.5,36,1,0.02,0.38,Replay,17.830000000000023
2025-12-26 05:05:08.204936,BUY_YES,KXHIGHNY-25DEC26-B29.5,35,1,0.02,0.37,Replay,17.460000000000022
2025-12-26 05:05:29.210649,BUY_YES,KXHIGHNY-25DEC26-B29.5,35,1,0.02,0.37,Replay,17.09000000000002
2025-12-26 05:05:53.993601,BUY_NO,KXHIGHNY-25DEC26-T34,93,1,0.01,0.9400000000000001,Replay,16.15000000000002
2025-12-26 05:06:11.538429,BUY_NO,KXHIGHNY-25DEC26-T34,93,1,0.01,0.9400000000000001,Replay,15.21000000000002
