time,action,ticker,price,qty,fee,cost,source,spread,capital_after,slippage,mid_at_fill,note
2025-12-10 09:55:16.739864,BUY_YES,KXHIGHNY-25DEC10-B44.5,33.0,5,0.08,1.7300000000000002,MM,6.0,219.89000000000013,3.0,30.0,
2025-12-10 10:00:17.456131,BUY_NO,KXHIGHNY-25DEC10-T47,89.0,1,0.01,0.9,MM,5.0,218.99000000000012,2.5,13.5,
2025-12-10 10:00:20.464057,BUY_NO,KXHIGHNY-25DEC10-T47,87.0,6,0.05,5.27,MM,3.0,213.7200000000001,1.5,14.5,
2025-12-10 10:00:20.939126,BUY_NO,KXHIGHNY-25DEC10-T47,87.0,5,0.04,4.39,MM,1.0,209.33000000000013,1.5,14.5,
2025-12-10 10:00:21.056120,BUY_NO,KXHIGHNY-25DEC10-T47,86.0,7,0.06,6.079999999999999,MM,2.0,203.2500000000001,1.0,15.0,
2025-12-10 10:00:56.020192,BUY_NO,KXHIGHNY-25DEC10-T47,86.0,5,0.05,4.35,MM,3.0,198.90000000000012,1.5,15.5,
2025-12-10 10:23:28.647262,BUY_NO,KXHIGHNY-25DEC10-T47,84.0,1,0.01,0.85,MM,2.0,198.05000000000013,1.0,17.0,
2025-12-10 10:23:30.968945,BUY_NO,KXHIGHNY-25DEC10-T47,84.0,1,0.01,0.85,MM,3.0,197.20000000000013,1.5,17.5,
2025-12-10 10:23:35.764437,BUY_NO,KXHIGHNY-25DEC10-T47,84.0,1,0.01,0.85,MM,2.0,196.35000000000014,1.0,17.0,
2025-12-10 10:26:03.325420,BUY_YES,KXHIGHNY-25DEC10-B46.5,71.0,12,0.18,8.7,MM,1.0,187.65000000000015,5.5,65.5,
2025-12-10 10:26:03.554785,BUY_YES,KXHIGHNY-25DEC10-B46.5,66.0,14,0.22,9.46,MM,5.0,178.19000000000014,2.5,63.5,
2025-12-10 10:26:03.566750,BUY_YES,KXHIGHNY-25DEC10-B46.5,66.0,13,0.21,8.790000000000001,MM,6.0,169.40000000000015,3.0,63.0,
2025-12-10 10:26:07.552203,BUY_YES,KXHIGHNY-25DEC10-B46.5,66.0,12,0.19,8.11,MM,5.0,161.29000000000013,3.5,62.5,
