timestamp,ticker,yes_bid,yes_ask,no_bid,no_ask,last_price,open_interest,volume,liquidity
2025-11-24T23:49:43.851131+00:00,KXHIGHNY-25NOV25-B54.5,35,37,63,65,37,4278,5012,1049322
2025-11-24T23:49:43.851131+00:00,KXHIGHNY-25NOV25-B52.5,11,12,88,89,12,2022,2567,589368
2025-11-24T23:49:43.851131+00:00,KXHIGHNY-25NOV24-T56,0,1,99,100,1,6509,6549,292391
2025-11-24T23:49:43.851131+00:00,KXHIGHNY-25NOV24-T49,0,1,99,100,1,4964,6583,2610891
2025-11-24T23:49:43.851131+00:00,KXHIGHNY-25NOV24-B55.5,0,1,99,100,1,11815,16103,284936
2025-11-24T23:49:43.851131+00:00,KXHIGHNY-25NOV24-B53.5,0,1,99,100,1,19572,36626,318707
2025-11-24T23:49:43.851131+00:00,KXHIGHNY-25NOV24-B51.5,99,100,0,1,99,16704,40257,219510
2025-11-24T23:49:43.851131+00:00,KXHIGHNY-25NOV24-B49.5,0,1,99,100,1,7853,17216,2694593
2025-11-24T23:50:43.999568+00:00,KXHIGHNY-25NOV25-T59,3,5,95,97,3,237,269,410545
2025-11-24T23:50:43.999568+00:00,KXHIGHNY-25NOV25-T52,1,2,98,99,1,248,248,368034
2025-11-24T23:50:43.999568+00:00,KXHIGHNY-25NOV25-B58.5,20,21,79,80,20,651,694,725172
2025-11-24T23:50:43.999568+00:00,KXHIGHNY-25NOV25-B56.5,35,36,64,65,33,1736,2189,786845
2025-11-24T23:50:43.999568+00:00,KXHIGHNY-25NOV25-B54.5,35,37,63,65,37,4278,5012,1055961
2025-11-24T23:50:43.999568+00:00,KXHIGHNY-25NOV25-B52.5,11,12,88,89,12,2022,2567,589222
2025-11-24T23:50:43.999568+00:00,KXHIGHNY-25NOV24-T56,0,1,99,100,1,6509,6549,292431
2025-11-24T23:50:43.999568+00:00,KXHIGHNY-25NOV24-T49,0,1,99,100,1,4964,6583,2610891
2025-11-24T23:50:43.999568+00:00,KXHIGHNY-25NOV24-B55.5,0,1,99,100,1,11815,16103,284936
2025-11-24T23:50:43.999568+00:00,KXHIGHNY-25NOV24-B53.5,0,1,99,100,1,19572,36626,318707
2025-11-24T23:50:43.999568+00:00,KXHIGHNY-25NOV24-B51.5,99,100,0,1,99,16704,40257,219510
2025-11-24T23:50:43.999568+00:00,KXHIGHNY-25NOV24-B49.5,0,1,99,100,1,7853,17216,2694593
2025-11-24T23:51:44.044913+00:00,KXHIGHNY-25NOV25-T59,3,5,95,97,3,237,269,410510
2025-11-24T23:51:44.044913+00:00,KXHIGHNY-25NOV25-T52,1,2,98,99,1,248,248,367665
2025-11-24T23:51:44.044913+00:00,KXHIGHNY-25NOV25-B58.5,20,21,79,80,20,651,694,725155
2025-11-24T23:51:44.044913+00:00,KXHIGHNY-25NOV25-B56.5,35,36,64,65,33,1736,2189,788162
2025-11-24T23:51:44.044913+00:00,KXHIGHNY-25NOV25-B54.5,36,37,63,64,37,4278,5012,1040283
2025-11-24T23:51:44.044913+00:00,KXHIGHNY-25NOV25-B52.5,11,12,88,89,12,2022,2567,589357
2025-11-24T23:51:44.044913+00:00,KXHIGHNY-25NOV24-T56,0,1,99,100,1,6509,6549,292391
2025-11-24T23:51:44.044913+00:00,KXHIGHNY-25NOV24-T49,0,1,99,100,1,4964,6583,2610891
2025-11-24T23:51:44.044913+00:00,KXHIGHNY-25NOV24-B55.5,0,1,99,100,1,11815,16103,284896
2025-11-24T23:51:44.044913+00:00,KXHIGHNY-25NOV24-B53.5,0,1,99,100,1,19572,36652,309073
2025-11-24T23:51:44.044913+00:00,KXHIGHNY-25NOV24-B51.5,99,100,0,1,99,16704,40257,219510
2025-11-24T23:51:44.044913+00:00,KXHIGHNY-25NOV24-B49.5,0,1,99,100,1,7853,17216,2694200
2025-11-24T23:52:44.175363+00:00,KXHIGHNY-25NOV25-T59,3,5,95,97,3,237,269,155067
2025-11-24T23:52:44.175363+00:00,KXHIGHNY-25NOV25-T52,1,2,98,99,1,248,248,124877
2025-11-24T23:52:44.175363+00:00,KXHIGHNY-25NOV25-B58.5,20,21,79,80,20,651,694,227149
2025-11-24T23:52:44.175363+00:00,KXHIGHNY-25NOV25-B56.5,35,36,64,65,33,1736,2189,325604
2025-11-24T23:52:44.175363+00:00,KXHIGHNY-25NOV25-B54.5,36,37,63,64,37,4298,5032,530897
