timestamp,market_ticker,best_yes_bid,best_no_bid,implied_no_ask,implied_yes_ask,last_trade_price
2026-01-08T23:07:36.148292,KXHIGHNY-26JAN09-T49,2,96,98,4,2
2026-01-08T23:07:36.148292,KXHIGHNY-26JAN09-B49.5,18,81,82,19,17
2026-01-08T23:07:37.348580,KXHIGHNY-26JAN09-T49,1,96,99,4,2
2026-01-08T23:07:37.386640,KXHIGHNY-26JAN09-B55.5,11,86,89,14,11
2026-01-08T23:07:37.406201,KXHIGHNY-26JAN09-B49.5,18,80,82,20,17
2026-01-08T23:07:37.467585,KXHIGHNY-26JAN09-B49.5,18,81,82,19,17
2026-01-08T23:07:40.766273,KXHIGHNY-26JAN09-T49,2,96,98,4,2
2026-01-08T23:07:40.791095,KXHIGHNY-26JAN09-B55.5,11,87,89,13,11
2026-01-08T23:07:40.878062,KXHIGHNY-26JAN09-B55.5,10,87,90,13,11
2026-01-08T23:07:41.102786,KXHIGHNY-26JAN09-B49.5,17,81,83,19,17
2026-01-08T23:07:41.213313,KXHIGHNY-26JAN09-T49,2,97,98,3,2
2026-01-08T23:07:41.585318,KXHIGHNY-26JAN09-B49.5,17,80,83,20,17
2026-01-08T23:07:42.098797,KXHIGHNY-26JAN09-B49.5,17,81,83,19,17
2026-01-08T23:07:44.897934,KXHIGHNY-26JAN09-B55.5,9,87,91,13,11
2026-01-08T23:07:45.384046,KXHIGHNY-26JAN09-T49,1,97,99,3,2
2026-01-08T23:07:45.582828,KXHIGHNY-26JAN09-T49,2,97,98,3,2
2026-01-08T23:07:46.988388,KXHIGHNY-26JAN09-T49,2,95,98,5,2
2026-01-08T23:07:47.150433,KXHIGHNY-26JAN09-T49,2,96,98,4,2
2026-01-08T23:07:47.654930,KXHIGHNY-26JAN09-B55.5,9,88,91,12,11
2026-01-08T23:07:52.435800,KXHIGHNY-26JAN09-T49,2,97,98,3,2
2026-01-08T23:07:57.655090,KXHIGHNY-26JAN09-T49,2,95,98,5,2
2026-01-08T23:07:57.768536,KXHIGHNY-26JAN09-T49,2,96,98,4,2
2026-01-08T23:08:02.874337,KXHIGHNY-26JAN09-B49.5,17,80,83,20,17
2026-01-08T23:08:02.986483,KXHIGHNY-26JAN09-T49,2,97,98,3,2
2026-01-08T23:08:03.323169,KXHIGHNY-26JAN09-B49.5,17,81,83,19,17
2026-01-08T23:08:07.663248,KXHIGHNY-26JAN09-T49,2,96,98,4,2
2026-01-08T23:08:11.547775,KXHIGHNY-26JAN09-T49,2,97,98,3,2
2026-01-08T23:08:24.990634,KXHIGHNY-26JAN09-B55.5,9,87,91,13,11
2026-01-08T23:08:25.546273,KXHIGHNY-26JAN09-B51.5,40,54,60,46,41
2026-01-08T23:08:25.573296,KXHIGHNY-26JAN09-B51.5,40,55,60,45,41
2026-01-08T23:08:25.767437,KXHIGHNY-26JAN09-B55.5,9,88,91,12,11
2026-01-08T23:08:27.352687,KXHIGHNY-26JAN09-B51.5,40,58,60,42,41
2026-01-08T23:08:31.782399,KXHIGHNY-26JAN09-B51.5,40,55,60,45,40
2026-01-08T23:08:31.811365,KXHIGHNY-26JAN09-B51.5,40,56,60,44,40
2026-01-08T23:08:33.123477,KXHIGHNY-26JAN09-B51.5,40,55,60,45,40
2026-01-08T23:08:33.153024,KXHIGHNY-26JAN09-B51.5,40,56,60,44,40
